phone_ts_ms	host_ts_ms	offset_ms
1781818248442	1781818248000	-442
1781818248479	1781818248037	-442
1781818248514	1781818248072	-442
1781818248541	1781818248100	-441
1781818248577	1781818248138	-439
1781818248614	1781818248173	-441
1781818248642	1781818248201	-441
1781818248682	1781818248241	-441
1781818248709	1781818248270	-439
1781818248748	1781818248307	-441
1781818248777	1781818248338	-439
1781818248809	1781818248370	-439
1781818248848	1781818248408	-440
1781818248877	1781818248436	-441
1781818248904	1781818248462	-442
1781818248943	1781818248502	-441
1781818248973	1781818248532	-441
1781818249007	1781818248565	-442
1781818249040	1781818248598	-442
1781818249073	1781818248631	-442
1781818249107	1781818248665	-442
1781818249147	1781818248707	-440
1781818249177	1781818248736	-441
1781818249209	1781818248767	-442
1781818249241	1781818248800	-441
1781818249275	1781818248836	-439
1781818249309	1781818248868	-441
1781818249342	1781818248900	-442
1781818249366	1781818248930	-436
1781818249399	1781818248962	-437
1781818249432	1781818248995	-437
1781818249465	1781818249023	-442
1781818249500	1781818249059	-441
1781818249531	1781818249090	-441
1781818249566	1781818249126	-440
1781818249597	1781818249158	-439
1781818249637	1781818249195	-442
1781818249663	1781818249222	-441
1781818249697	1781818249255	-442
1781818249729	1781818249288	-441
1781818249764	1781818249323	-441
1781818249795	1781818249353	-442
1781818249828	1781818249386	-442
1781818249861	1781818249419	-442
1781818249896	1781818249456	-440
1781818249930	1781818249488	-442
1781818249960	1781818249519	-441
1781818249993	1781818249552	-441
1781818250027	1781818249585	-442
1781818250063	1781818249621	-442
1781818250096	1781818249655	-441
1781818250126	1781818249685	-441
1781818250160	1781818249718	-442
1781818250191	1781818249750	-441
1781818250225	1781818249785	-440
1781818250260	1781818249823	-437
1781818250292	1781818249850	-442
1781818250326	1781818249885	-441
1781818250359	1781818249917	-442
1781818250392	1781818249951	-441
1781818250425	1781818249986	-439
1781818250463	1781818250023	-440
1781818250491	1781818250050	-441
1781818250528	1781818250092	-436
1781818250561	1781818250121	-440
1781818250591	1781818250155	-436
1781818250626	1781818250192	-434
1781818250655	1781818250215	-440
1781818250691	1781818250249	-442
1781818250725	1781818250284	-441
1781818250760	1781818250320	-440
1781818250791	1781818250351	-440
1781818250823	1781818250382	-441
1781818250856	1781818250416	-440
1781818250891	1781818250450	-441
1781818250925	1781818250487	-438
1781818250957	1781818250515	-442
1781818250990	1781818250548	-442
1781818251024	1781818250582	-442
1781818251059	1781818250619	-440
1781818251090	1781818250647	-443
1781818251124	1781818250682	-442
1781818251156	1781818250714	-442
1781818251192	1781818250750	-442
1781818251223	1781818250782	-441
1781818251247	1781818250805	-442
1781818251280	1781818250838	-442
1781818251313	1781818250871	-442
1781818251347	1781818250905	-442
1781818251379	1781818250937	-442
1781818251412	1781818250970	-442
1781818251445	1781818251006	-439
1781818251478	1781818251038	-440
1781818251511	1781818251070	-441
1781818251544	1781818251102	-442
1781818251577	1781818251136	-441
1781818251610	1781818251169	-441
1781818251647	1781818251205	-442
1781818251678	1781818251236	-442
1781818251709	1781818251268	-441
1781818251742	1781818251301	-441
1781818251775	1781818251333	-442
1781818251808	1781818251367	-441
1781818251841	1781818251401	-440
1781818251875	1781818251434	-441
1781818251907	1781818251466	-441
1781818251940	1781818251498	-442
1781818251974	1781818251534	-440
1781818252007	1781818251566	-441
1781818252040	1781818251599	-441
1781818252072	1781818251631	-441
1781818252108	1781818251667	-441
1781818252142	1781818251700	-442
1781818252173	1781818251732	-441
1781818252214	1781818251773	-441
1781818252240	1781818251799	-441
1781818252273	1781818251831	-442
1781818252307	1781818251867	-440
1781818252337	1781818251896	-441
1781818252372	1781818251933	-439
1781818252407	1781818251965	-442
1781818252438	1781818251997	-441
1781818252471	1781818252030	-441
1781818252504	1781818252063	-441
1781818252537	1781818252096	-441
1781818252572	1781818252131	-441
1781818252607	1781818252166	-441
1781818252638	1781818252197	-441
1781818252673	1781818252232	-441
1781818252707	1781818252265	-442
1781818252739	1781818252299	-440
1781818252771	1781818252330	-441
1781818252804	1781818252363	-441
1781818252839	1781818252399	-440
1781818252872	1781818252430	-442
1781818252904	1781818252463	-441
1781818252937	1781818252498	-439
1781818252973	1781818252531	-442
1781818253007	1781818252566	-441
1781818253040	1781818252600	-440
1781818253072	1781818252632	-440
1781818253095	1781818252661	-434
1781818253129	1781818252698	-431
1781818253161	1781818252721	-440
1781818253196	1781818252755	-441
1781818253227	1781818252786	-441
1781818253260	1781818252820	-440
1781818253293	1781818252852	-441
1781818253327	1781818252885	-442
1781818253359	1781818252917	-442
1781818253392	1781818252951	-441
1781818253425	1781818252984	-441
1781818253458	1781818253017	-441
1781818253494	1781818253054	-440
1781818253524	1781818253084	-440
1781818253557	1781818253115	-442
1781818253590	1781818253149	-441
1781818253623	1781818253182	-441
1781818253657	1781818253215	-442
1781818253689	1781818253251	-438
1781818253722	1781818253283	-439
1781818253765	1781818253324	-441
1781818253789	1781818253347	-442
1781818253821	1781818253380	-441
1781818253858	1781818253417	-441
1781818253896	1781818253456	-440
1781818253923	1781818253482	-441
1781818253954	1781818253512	-442
1781818253989	1781818253548	-441
1781818254024	1781818253582	-442
1781818254054	1781818253612	-442
1781818254086	1781818253646	-440
1781818254123	1781818253681	-442
1781818254154	1781818253716	-438
1781818254186	1781818253745	-441
1781818254221	1781818253780	-441
1781818254257	1781818253816	-441
1781818254289	1781818253856	-433
1781818254328	1781818253889	-439
1781818254353	1781818253914	-439
1781818254387	1781818253945	-442
1781818254422	1781818253982	-440
1781818254448	1781818254007	-441
1781818254489	1781818254048	-441
1781818254520	1781818254079	-441
1781818254553	1781818254111	-442
1781818254586	1781818254144	-442
1781818254620	1781818254179	-441
1781818254654	1781818254212	-442
1781818254687	1781818254247	-440
1781818254726	1781818254286	-440
1781818254753	1781818254312	-441
1781818254788	1781818254349	-439
1781818254821	1781818254379	-442
1781818254853	1781818254411	-442
1781818254877	1781818254435	-442
1781818254910	1781818254468	-442
1781818254943	1781818254501	-442
1781818254977	1781818254538	-439
1781818255009	1781818254567	-442
1781818255045	1781818254603	-442
1781818255075	1781818254633	-442
1781818255108	1781818254666	-442
1781818255141	1781818254699	-442
1781818255174	1781818254732	-442
1781818255208	1781818254768	-440
1781818255240	1781818254799	-441
1781818255273	1781818254831	-442
1781818255306	1781818254865	-441
1781818255339	1781818254899	-440
1781818255372	1781818254930	-442
1781818255405	1781818254963	-442
1781818255438	1781818254996	-442
1781818255472	1781818255030	-442
1781818255509	1781818255067	-442
1781818255538	1781818255098	-440
1781818255570	1781818255134	-436
1781818255603	1781818255162	-441
1781818255636	1781818255194	-442
1781818255670	1781818255231	-439
1781818255702	1781818255260	-442
1781818255737	1781818255295	-442
1781818255768	1781818255327	-441
1781818255803	1781818255361	-442
1781818255837	1781818255395	-442
1781818255868	1781818255427	-441
1781818255905	1781818255465	-440
1781818255939	1781818255497	-442
1781818255969	1781818255528	-441
1781818256001	1781818255559	-442
1781818256035	1781818255593	-442
1781818256067	1781818255627	-440
1781818256102	1781818255660	-442
1781818256139	1781818255702	-437
1781818256168	1781818255728	-440
1781818256201	1781818255759	-442
1781818256233	1781818255792	-441
1781818256268	1781818255826	-442
1781818256300	1781818255858	-442
1781818256336	1781818255894	-442
1781818256367	1781818255926	-441
1781818256401	1781818255959	-442
1781818256435	1781818255995	-440
1781818256469	1781818256027	-442
1781818256502	1781818256061	-441
1781818256542	1781818256101	-441
1781818256572	1781818256132	-440
1781818256620	1781818256179	-441
1781818256627	1781818256190	-437
1781818256667	1781818256226	-441
1781818256692	1781818256252	-440
1781818256725	1781818256295	-430
1781818256758	1781818256316	-442
1781818256791	1781818256352	-439
1781818256825	1781818256383	-442
1781818256857	1781818256423	-434
1781818256890	1781818256448	-442
1781818256923	1781818256482	-441
1781818256956	1781818256517	-439
1781818256989	1781818256547	-442
1781818257023	1781818256581	-442
1781818257055	1781818256617	-438
1781818257088	1781818256648	-440
1781818257121	1781818256684	-437
1781818257154	1781818256713	-441
1781818257187	1781818256747	-440
1781818257221	1781818256780	-441
1781818257253	1781818256812	-441
1781818257286	1781818256845	-441
1781818257319	1781818256878	-441
1781818257353	1781818256913	-440
1781818257385	1781818256945	-440
1781818257422	1781818256981	-441
1781818257452	1781818257011	-441
1781818257486	1781818257045	-441
1781818257517	1781818257076	-441
1781818257550	1781818257108	-442
1781818257584	1781818257142	-442
1781818257616	1781818257176	-440
1781818257651	1781818257210	-441
1781818257684	1781818257242	-442
1781818257716	1781818257279	-437
1781818257750	1781818257310	-440
1781818257782	1781818257340	-442
1781818257817	1781818257375	-442
1781818257850	1781818257408	-442
1781818257885	1781818257451	-434
1781818257918	1781818257476	-442
1781818257951	1781818257510	-441
1781818257982	1781818257540	-442
1781818258016	1781818257574	-442
1781818258051	1781818257611	-440
1781818258084	1781818257644	-440
1781818258118	1781818257677	-441
1781818258151	1781818257712	-439
1781818258183	1781818257743	-440
1781818258216	1781818257775	-441
1781818258249	1781818257810	-439
1781818258281	1781818257839	-442
1781818258320	1781818257880	-440
1781818258350	1781818257911	-439
1781818258383	1781818257941	-442
1781818258417	1781818257976	-441
1781818258449	1781818258009	-440
1781818258483	1781818258042	-441
1781818258517	1781818258076	-441
1781818258540	1781818258109	-431
1781818258573	1781818258132	-441
1781818258606	1781818258167	-439
1781818258639	1781818258197	-442
1781818258672	1781818258230	-442
1781818258705	1781818258264	-441
1781818258738	1781818258297	-441
1781818258771	1781818258330	-441
1781818258805	1781818258364	-441
1781818258837	1781818258395	-442
1781818258870	1781818258428	-442
1781818258903	1781818258462	-441
1781818258936	1781818258495	-441
1781818258971	1781818258530	-441
1781818259004	1781818258563	-441
1781818259035	1781818258593	-442
1781818259068	1781818258627	-441
1781818259101	1781818258660	-441
1781818259134	1781818258693	-441
1781818259167	1781818258727	-440
1781818259200	1781818258761	-439
1781818259234	1781818258792	-442
1781818259266	1781818258826	-440
